profile,max_running,mem_fraction,streams,agg_tok_s,per_stream_tok_s,ttft_med_s,accepted_per_pass,out_tokens_total,reps,date
16-seat,16,0.65,1,81.59,84.97,0.14,9.05,289,2,2026-09-02
16-seat,16,0.65,2,119.26,66.1,0.271,7.013,423,2,2026-09-02
16-seat,16,0.65,4,199.38,57.46,0.31,7.378,990,2,2026-09-02
16-seat,16,0.65,8,276.02,42.72,0.457,7.517,1980,2,2026-09-02
16-seat,16,0.65,16,359.51,26.84,0.702,7.302,3498,2,2026-09-02
32-seat,32,0.8,1,67.63,70.79,0.145,7.875,221,2,2026-09-02
32-seat,32,0.8,2,115.15,66.16,0.271,7.132,404,2,2026-09-02
32-seat,32,0.8,4,168.79,51.17,0.306,7.221,977,2,2026-09-02
32-seat,32,0.8,8,224.13,37.36,0.38,7.412,2045,2,2026-09-02
32-seat,32,0.8,16,337.42,26.08,0.803,7.489,3917,2,2026-09-02
32-seat,32,0.8,32,387.24,15.35,1.09,7.194,7817,2,2026-09-02
32-seat-mem0.65-collapsed,32,0.65,1,62.85,70.68,0.522,7.075,278,2,2026-09-02
32-seat-mem0.65-collapsed,32,0.65,2,100.98,67.03,0.625,7.549,476,2,2026-09-02
32-seat-mem0.65-collapsed,32,0.65,4,152.92,51.07,1.167,7.114,1100,2,2026-09-02
32-seat-mem0.65-collapsed,32,0.65,8,235.75,41.41,1.621,7.387,2028,2,2026-09-02
32-seat-mem0.65-collapsed,32,0.65,16,276.97,21.73,1.255,7.433,3611,2,2026-09-02
32-seat-mem0.65-collapsed,32,0.65,32,212.91,14.79,5.586,7.744,8023,2,2026-09-02
