config,boot,temperature,ctx_target,prompt_tokens,prefill_tok_s,gen_tok_s,accepted_per_pass,saturation,cold_ttft_s,warm_ttft_s,prefill_bytes_s,gen_bytes_s,out_tokens,reps,date
nvfp4-drafter-bf16kv,1,0.0,512,324,1656.6,72.68,6.875,0.43,0.196,0.197,6836.1,256.6,183,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,1024,1099,2310.3,74.82,7.475,0.467,0.476,0.195,8297.5,222.0,180,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,2048,2307,1862.1,70.66,7.2,0.45,1.239,0.206,6695.4,257.4,182,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,4096,4311,2473.5,78.27,7.775,0.486,1.743,0.205,8755.0,260.4,326,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,8192,8159,2505.8,73.91,7.525,0.47,3.256,0.205,8962.6,242.4,279,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,16384,16576,2382.2,72.67,7.275,0.455,6.958,0.232,8321.1,271.8,277,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,32768,32741,2181.0,66.75,7.175,0.448,15.012,0.332,7799.8,246.3,269,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,65536,65842,1811.3,66.83,8.125,0.508,36.351,0.453,6429.5,225.0,262,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,131072,130656,1371.7,55.9,7.925,0.495,95.253,0.723,4902.6,178.3,322,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,259584,257334,928.5,38.22,6.825,0.427,277.153,1.194,3318.0,155.3,278,4,2026-09-02
nvfp4-drafter-bf16kv,1,1.0,512,326,918.9,72.65,7.675,0.48,0.355,0.197,3774.1,278.6,199,4,2026-09-02
nvfp4-drafter-bf16kv,1,1.0,8192,8162,2539.6,66.57,6.4,0.4,3.214,0.239,9098.3,238.3,170,4,2026-09-02
nvfp4-drafter-bf16kv,1,1.0,65536,64952,1856.2,60.79,6.3,0.394,34.991,0.46,6593.1,216.7,314,4,2026-09-02
nvfp4-drafter-bf16kv,1,1.0,131072,130852,1391.3,50.15,7.775,0.486,94.051,0.699,4975.3,179.8,254,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,512,325,1546.3,75.61,7.35,0.459,0.21,0.193,6384.9,266.1,181,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,1024,1103,2576.9,78.66,8.3,0.519,0.428,0.195,9268.0,279.4,191,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,2048,2306,2397.1,76.21,7.575,0.473,0.962,0.206,8669.5,237.5,200,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,4096,4275,2456.3,77.54,7.9,0.494,1.74,0.218,8817.0,235.6,284,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,8192,8155,2528.7,75.51,7.975,0.498,3.225,0.206,9100.4,236.7,329,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,16384,16446,2380.0,78.22,7.925,0.495,6.91,0.235,8299.9,287.1,272,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,32768,32890,2175.9,65.79,7.125,0.445,15.116,0.301,7790.6,240.9,333,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,65536,65177,1835.4,63.78,7.65,0.478,35.511,0.442,6520.9,250.0,274,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,131072,131296,1378.5,56.36,7.725,0.483,95.248,0.661,4931.1,208.1,294,4,2026-09-02
nvfp4-drafter-bf16kv,2,0.0,259584,258573,926.0,41.32,7.15,0.447,279.229,1.176,3312.3,137.7,245,4,2026-09-02
nvfp4-drafter-bf16kv,2,1.0,259584,258572,927.4,39.71,6.775,0.423,278.808,1.164,3317.3,135.1,253,4,2026-09-02
