config,boot,temperature,ctx_target,prompt_tokens,prefill_tok_s,gen_tok_s,accepted_per_pass,saturation,cold_ttft_s,warm_ttft_s,prefill_bytes_s,gen_bytes_s,out_tokens,reps,date
bf16-drafter-bf16kv,1,0.0,512,320,1694.1,72.68,7.675,0.48,0.189,0.215,6993.4,270.0,252,2,2026-09-01
bf16-drafter-bf16kv,1,0.0,1024,1087,2109.6,70.77,8.55,0.534,0.515,0.301,7536.0,214.9,220,2,2026-09-01
bf16-drafter-bf16kv,1,0.0,2048,2284,2404.5,66.05,7.025,0.439,0.95,0.241,8583.0,246.7,266,2,2026-09-01
bf16-drafter-bf16kv,1,0.0,4096,4202,2310.6,67.24,6.85,0.428,1.819,0.259,8241.5,269.5,338,2,2026-09-01
bf16-drafter-bf16kv,1,0.0,8192,8253,2455.5,67.12,7.725,0.483,3.361,0.195,8780.0,243.8,326,2,2026-09-01
bf16-drafter-bf16kv,1,0.0,16384,16500,2366.7,62.55,7.0,0.438,6.972,0.282,8277.0,253.0,335,2,2026-09-01
bf16-drafter-bf16kv,1,0.0,32768,32626,2184.6,68.81,8.6,0.537,14.934,0.336,7811.8,217.2,376,2,2026-09-01
bf16-drafter-bf16kv,1,0.0,65536,65507,1824.5,69.73,8.95,0.559,35.905,0.468,6485.7,242.9,231,2,2026-09-01
bf16-drafter-bf16kv,1,0.0,131072,130122,1384.1,49.19,6.975,0.436,94.014,0.702,4949.1,194.5,255,2,2026-09-01
bf16-drafter-bf16kv,1,0.0,200000,199008,1093.4,43.25,8.075,0.505,182.009,0.942,3908.4,142.1,293,2,2026-09-01
nvfp4-drafter-bf16kv,1,0.0,512,324,1656.6,72.68,6.875,0.43,0.196,0.197,6836.1,256.6,183,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,1024,1099,2310.3,74.82,7.475,0.467,0.476,0.195,8297.5,222.0,180,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,2048,2307,1862.1,70.66,7.2,0.45,1.239,0.206,6695.4,257.4,182,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,4096,4311,2473.5,78.27,7.775,0.486,1.743,0.205,8755.0,260.4,326,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,8192,8159,2505.8,73.91,7.525,0.47,3.256,0.205,8962.6,242.4,279,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,16384,16576,2382.2,72.67,7.275,0.455,6.958,0.232,8321.1,271.8,277,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,32768,32741,2181.0,66.75,7.175,0.448,15.012,0.332,7799.8,246.3,269,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,65536,65842,1811.3,66.83,8.125,0.508,36.351,0.453,6429.5,225.0,262,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,131072,130656,1371.7,55.9,7.925,0.495,95.253,0.723,4902.6,178.3,322,4,2026-09-02
nvfp4-drafter-bf16kv,1,0.0,259584,257334,928.5,38.22,6.825,0.427,277.153,1.194,3318.0,155.3,278,4,2026-09-02
nvfp4-drafter-fp8kv,1,0.0,512,318,1658.2,77.65,7.15,0.447,0.192,0.206,6888.2,280.1,184,2,2026-09-01
nvfp4-drafter-fp8kv,1,0.0,1024,1281,2536.9,74.64,7.3,0.456,0.505,0.194,9379.2,261.8,166,2,2026-09-01
nvfp4-drafter-fp8kv,1,0.0,2048,2283,2419.6,73.21,6.85,0.428,0.944,0.214,8640.9,279.5,270,2,2026-09-01
nvfp4-drafter-fp8kv,1,0.0,4096,4201,2410.6,73.31,7.175,0.448,1.743,0.239,8600.4,276.7,332,2,2026-09-01
nvfp4-drafter-fp8kv,1,0.0,8192,8254,2401.4,74.94,7.5,0.469,3.437,0.231,8585.5,274.4,329,2,2026-09-01
nvfp4-drafter-fp8kv,1,0.0,16384,16499,2279.7,77.85,8.1,0.506,7.237,0.243,7973.0,258.9,198,2,2026-09-01
nvfp4-drafter-fp8kv,1,0.0,32768,32627,2030.8,80.67,8.55,0.534,16.066,0.32,7261.5,288.0,231,2,2026-09-01
nvfp4-drafter-fp8kv,1,0.0,65536,65506,1612.1,61.53,7.475,0.467,40.635,0.463,5730.8,203.8,320,2,2026-09-01
nvfp4-drafter-fp8kv,1,0.0,131072,130123,1147.9,63.29,7.65,0.478,113.357,0.679,4104.6,230.4,239,2,2026-09-01
nvfp4-drafter-fp8kv,1,0.0,262144,260557,733.8,53.56,8.425,0.527,355.076,1.166,2619.4,186.5,222,2,2026-09-01
