arm,prompt_id,prompt_tokens,completion_tokens,gen_tok_s,ttft_ms,tokens,text_sha256,date
spec-on,p01_ctxsweep_2k,2067,223,74.42,1012,223,07fff49de66d34ba9350d64d59ec9d235116ec272137ee6e9b00fe2cb9ce0592,2026-09-01
spec-on,p02_snake,68,512,55.69,153,512,f8fc409de9e83e6d7812fd1947a80b0e77e7342feb77cf98578566cffc3dc91b,2026-09-01
spec-on,p03_refactor,140,74,109.16,172,74,6f7a346a20006db63ea3849f121aaf9927255cdf2125875baa5f2f2999aa0742,2026-09-01
spec-on,p04_json_extract,121,78,114.57,169,78,530559ed52e4034613baa1863df32ad807b2629240f309ef2d32de15870eadff,2026-09-01
spec-on,p05_long_32k_summary,32028,275,72.29,14593,275,09c5e06417dcfda9c2c7f7c0aeaf7c564e2f6a21dd0c4bcec5e60c4d9a3c4e40,2026-09-01
spec-on,p06_long_32k_riskscan,31992,158,21.84,14581,158,4256db2b1a7b0f957bcd395cd3bb90688cfdd1067268b7c4cba618ceb816e97e,2026-09-01
spec-on,p07_capital,24,2,17.3,148,2,5dd272b4f316b776a7b8e3d0894b37e1e42be3d5d3b204b8a5836cc50597a6b1,2026-09-01
spec-on,p08_recursion,23,71,27.37,136,71,e6ff9634326bf4baa3844b4f178862ec66ce4d6bb6a7796b5ab55471335cb801,2026-09-01
spec-on,p09_haiku,20,20,17.65,138,20,44e2d9f0b0e889ad20ac77bc523923bb11817fa91d95725560b2a4f2d78fc415,2026-09-01
spec-on,p10_primes,26,14,62.26,136,14,67c401fad5e13a048c86c8877c09b456880f2d04b1d2712df33a6ef2e64b0afe,2026-09-01
spec-on,p11_convert,35,188,61.38,171,188,e76495910010e1d16f1c0695bc31c2043ad10c507d0d110caaa87b3d325fea54,2026-09-01
spec-on,p12_list_vs_tuple,28,32,28.19,152,32,f00bdf175f7cac8a3d74ff0c70735b6062fa7e02c0f5d11c760ced0ce5573881,2026-09-01
spec-off,p01_ctxsweep_2k,2067,227,12.61,1060,227,8712dabf8403b6101fb27f8d1580d27c8a49ef2fc6d994d75560d042f185c57e,2026-09-01
spec-off,p02_snake,68,512,12.62,125,512,70524b4534007ecedd6a2245847c21cf4262412e32408a57a9124771edbb9b14,2026-09-01
spec-off,p03_refactor,140,74,12.74,137,74,3d1307e0f0d10bfbd2ad046d5d5b24a5dbd0a37315faddddd02127fa6369d4a3,2026-09-01
spec-off,p04_json_extract,121,78,12.7,133,78,530559ed52e4034613baa1863df32ad807b2629240f309ef2d32de15870eadff,2026-09-01
spec-off,p05_long_32k_summary,32028,320,11.4,14444,320,ce57af4d635cb58809c6bf7607e9094b22eaeee49340c728a7f83fd10f7afa13,2026-09-01
spec-off,p06_long_32k_riskscan,31992,294,11.4,14418,294,e50fe5a7667b24d2de4fe1d03927f52c5dcd44c49e30fd2344ea4ef59a5e7508,2026-09-01
spec-off,p07_capital,24,2,26.07,115,2,5dd272b4f316b776a7b8e3d0894b37e1e42be3d5d3b204b8a5836cc50597a6b1,2026-09-01
spec-off,p08_recursion,23,78,12.71,111,78,ac6f0d45b3363e6509af5a6b927d127432f7133d6ffa5479654025ebc2d3afdc,2026-09-01
spec-off,p09_haiku,20,20,13.13,113,20,e285ad13a7dd5681672577eb11769210325fd149e4c2e4a70ebea11b77bb88c0,2026-09-01
spec-off,p10_primes,26,14,13.5,114,14,67c401fad5e13a048c86c8877c09b456880f2d04b1d2712df33a6ef2e64b0afe,2026-09-01
spec-off,p11_convert,35,215,12.66,151,215,51e2115b974c95cd792f9822052309a22adc24ca959f9eaa01331ce027b11e7a,2026-09-01
spec-off,p12_list_vs_tuple,28,32,12.97,115,32,d1c21ce9028f64e28abe638f01908a478a57e210aa44adddac0df6d15ed40694,2026-09-01
spec-off-busy,p01_ctxsweep_2k,2062,316,11.77,1103,316,7cb7f0c456703be2cff3a48804823b60067db816acce44a1f6d66be806478ad5,2026-09-01
spec-off-busy,p02_snake,68,512,11.81,256,512,daf627944dcb7dffaf9e0974d2f5824b6d085db7188689ef4fa2053b908e79b9,2026-09-01
spec-off-busy,p03_refactor,140,74,11.74,280,74,6f7a346a20006db63ea3849f121aaf9927255cdf2125875baa5f2f2999aa0742,2026-09-01
spec-off-busy,p04_json_extract,121,78,11.97,279,78,530559ed52e4034613baa1863df32ad807b2629240f309ef2d32de15870eadff,2026-09-01
spec-off-busy,p05_long_32k_summary,32212,319,10.73,14897,319,f30c58abe907f7485bec5ac35c7d5da4d09531c6b1f00d362e695b446feb3158,2026-09-01
spec-off-busy,p06_long_32k_riskscan,32176,512,10.74,14875,512,eca29202c7829b301e785614c90f0b24516f548a90e751b60cfeaa02a31bbe3d,2026-09-01
spec-off-busy,p07_capital,24,2,22.9,264,2,5dd272b4f316b776a7b8e3d0894b37e1e42be3d5d3b204b8a5836cc50597a6b1,2026-09-01
spec-off-busy,p08_recursion,23,68,11.98,259,68,3488d22e987829f2fd267ac13d0834319e568e7bb5c34428a8a54ed947d8a4c4,2026-09-01
spec-off-busy,p09_haiku,20,21,12.42,257,21,f9a7540e687cc39d9b3afebf6460f286b52705dce0323f0062cc520669312fec,2026-09-01
spec-off-busy,p10_primes,26,14,12.69,258,14,67c401fad5e13a048c86c8877c09b456880f2d04b1d2712df33a6ef2e64b0afe,2026-09-01
spec-off-busy,p11_convert,35,236,11.79,292,236,a2760502efc261d003545e46f2751d214c8a6e0e4d4a1a979ac1dd0ca2f031c4,2026-09-01
spec-off-busy,p12_list_vs_tuple,28,32,12.19,254,32,458fddfc8ac1c134d58ff1e8bf095bce5586e3dee794932c388ece4556e66abf,2026-09-01
nvfp4-drafter,p01_ctxsweep_2k,2062,217,67.52,1046,217,4ac8376ed2911d84d39804b8cf5956b4f8a562a634a0e9793c935df81b03035c,2026-09-01
nvfp4-drafter,p02_snake,68,512,52.95,143,512,d8fc5deaefb7d0c652242cbae69017adcf921bbd4007c21e052c93bb7245cc54,2026-09-01
nvfp4-drafter,p03_refactor,140,74,119.92,154,74,6f7a346a20006db63ea3849f121aaf9927255cdf2125875baa5f2f2999aa0742,2026-09-01
nvfp4-drafter,p04_json_extract,121,78,126.28,149,78,530559ed52e4034613baa1863df32ad807b2629240f309ef2d32de15870eadff,2026-09-01
nvfp4-drafter,p05_long_32k_summary,32212,279,77.59,14657,279,56c07e095d3341e3686de198915083fa79b03b9c51dfa512e5e2117d413e23dc,2026-09-01
nvfp4-drafter,p06_long_32k_riskscan,32176,215,23.67,14702,215,5da6bc840b8b7435c1d24f58e2a261e4ed41552de98dcb954778a04f963926c8,2026-09-01
nvfp4-drafter,p07_capital,24,2,19.16,128,2,5dd272b4f316b776a7b8e3d0894b37e1e42be3d5d3b204b8a5836cc50597a6b1,2026-09-01
nvfp4-drafter,p08_recursion,23,78,32.93,132,78,f10e0ef9f90c1f435008ede244ecb10b8f84bc06134cab741fb58640bafa1972,2026-09-01
nvfp4-drafter,p09_haiku,20,20,21.72,143,20,e285ad13a7dd5681672577eb11769210325fd149e4c2e4a70ebea11b77bb88c0,2026-09-01
nvfp4-drafter,p10_primes,26,14,69.28,128,14,67c401fad5e13a048c86c8877c09b456880f2d04b1d2712df33a6ef2e64b0afe,2026-09-01
nvfp4-drafter,p11_convert,35,209,65.49,173,209,c2b00135382382528623ddc5a97c8af2938d34a3eec7c486b949bfb4f91cdfb5,2026-09-01
nvfp4-drafter,p12_list_vs_tuple,28,32,28.44,140,32,f00bdf175f7cac8a3d74ff0c70735b6062fa7e02c0f5d11c760ced0ce5573881,2026-09-01
nvfp4-drafter-fp8kv,p01_ctxsweep_2k,2062,282,77.42,1042,282,8778738359f7813fa4cf55f369b3608d2ae8dba36de09e4233d83361e8ff0f33,2026-09-01
